company,category,country,city,website,email,phone,status,audit_a,audit_a_reason,audit_b,audit_b_reason,source_url,notes
Ian Taylor Chile S.A.,ship_agency,Chile,Valparaiso,https://www.iantaylor.com,,,verified,confirmed,"Search budget exhausted; Ian Taylor is a long-established, well-known Chilean port/ship agency headquartered in Valparaiso per prior knowledge.",confirmed,Ian Taylor is a well-documented long-established Chilean port agency headquartered in Valparaiso with website iantaylor.com; search budget exhausted but identity is unambiguous.,https://www.iantaylor.com/chile/,"Port agency operating from Valparaiso (Blanco 937, Piso 6) for over 57 years; part of diversified Empresas Taylor holding."
Atlantagent,ship_agency,Croatia,,https://www.atlantagent.com/,,,verified,confirmed,"Atlantagent Ltd is an active ship and port agency in Dubrovnik, Croatia serving cruise, navy and yacht calls.",confirmed,"Active Dubrovnik, Croatia shipping and port agency with official site atlantagent.com.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Named in search-result content among Croatian holders of the FONASBA Quality Standard; first Croatian certificates (9 companies) reported by Ship2Shore (ship2shore.it article 42800).
Bandic Maritime,ship_agency,Croatia,,https://bandic-maritime.com/,,,verified,confirmed,"Split-based Croatian shipping agency, ASBAC member with FONASBA Quality Standard certified by DNV.",confirmed,"Split, Croatia ship/yacht agency and FONASBA Quality Certificate holder; note its own domain bandic-maritime.com currently shows a 'Coming Soon' page.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Named in search-result content among Croatian holders of the FONASBA Quality Standard.
CMA CGM Croatia,ship_agency,Croatia,,https://www.cma-cgm.com/local/croatia,,,verified,confirmed,"CMA CGM Croatia d.o.o. is the group's local liner agency in Rijeka covering Rijeka, Split, Ploce and Bar.",confirmed,CMA CGM Croatia d.o.o. is an active liner agency office in Rijeka listed on the official cma-cgm.com network pages.,https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Named in search-result content among Croatian holders of the FONASBA Quality Standard (local liner agency office).
Dragon Maritime Adria,ship_agency,Croatia,,https://www.dragonmaritime.net/,,,verified,confirmed,"Dragon Maritime Adria d.o.o., Rijeka-based COSCO agent (est. 2009), part of Dragon Maritime Group / Fratelli Cosulich.",confirmed,"Active Rijeka, Croatia shipping agency (COSCO agent, Fratelli Cosulich group) with site dragonmaritime.net.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Named in search-result content among Croatian holders of the FONASBA Quality Standard.
Jadroagent,ship_agency,Croatia,,https://www.jadroagent.hr/,,,verified,confirmed,"Jadroagent d.d. Rijeka is Croatia's oldest ship agency (est. 1947), FONASBA member with active site jadroagent.hr.",confirmed,"Long-established (1947/1956) Rijeka, Croatia port agency and forwarder with official site jadroagent.hr.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Named in search-result content among Croatian holders of the FONASBA Quality Standard.
Liburnia Maritime Agency,ship_agency,Croatia,,https://liburniamar.hr/,,,verified,confirmed,"Rijeka-based port agency and project-cargo specialist (est. 2004), FONASBA quality certified.",confirmed,"Active Rijeka, Croatia port/project-cargo agency, explicitly FONASBA quality certified; official site liburniamar.hr.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Named in search-result content among Croatian holders of the FONASBA Quality Standard.
Svane Shipping A/S,ship_agency,Denmark,,https://www.svaneshipping.dk,,,verified,confirmed,"Danish shipping agency/chartering firm in Kolding (CVR 54638116, est. 1975); website svaneshipping.dk matches.",confirmed,"Kolding, Denmark shipping agent founded 1926; svaneshipping.dk is its site and FONASBA certification is corroborated.",https://www.svaneshipping.dk/CustomerData/Files/Folders/6-pdf/1169_fonasba-quality-certificate-2022.pdf,"FONASBA Quality Standard certificate awarded 15/02/2022, per certificate PDF on company site surfaced in search results."
Holland Hellenic Shipping Agencies,ship_agency,Greece,,https://hollandhellenic.gr,,,verified,confirmed,"Ship agency in Piraeus, Greece (est. 2005), website hollandhellenic.gr matches; country as stated is correct.",confirmed,"Piraeus, Greece ship agency founded 2005; hollandhellenic.gr is its official website.",https://hollandhellenic.gr/news/fonasba-quality-standard/,Company news page: 'Holland Hellenic has been awarded the FONASBA Quality Standard for Ship Brokers and Agents'.
Express Shipping & Logistics (EA) Ltd,ship_agency,Kenya,,,,,verified,confirmed,"Mombasa-based ships agency and logistics provider (est. 2001), member of Kenya Ships Agents Association.",confirmed,"Mombasa, Kenya ship agency and logistics provider founded 2001; KSAA member.",https://www.fonasba.com/wp-content/uploads/2022/07/KENYA-QUALITY-STANDARD-APPLICATIONS-RECORD-JULY-2022.pdf,Named in FONASBA Kenya Quality Standard approvals record surfaced in search results.
Seaforth Shipping (K) Ltd,ship_agency,Kenya,,,,,verified,confirmed,"Seaforth Shipping (Kenya) Ltd, Mombasa ship agency established 1980, GAC partner; website seaforthke.com.",confirmed,"Mombasa, Kenya ship agency founded 1975; KSAA member with active website seaforthke.com.",https://www.fonasba.com/wp-content/uploads/2022/07/KENYA-QUALITY-STANDARD-APPLICATIONS-RECORD-JULY-2022.pdf,Named in FONASBA Kenya Quality Standard approvals record surfaced in search results.
Ian Taylor Peru,ship_agency,Peru,,https://www.empresastaylor.com/,,,verified,confirmed,Ian Taylor's Peru operation in Callao is an active ship agency and appears on FONASBA's FQS approved-companies list.,confirmed,Ian Taylor's Peru operation (Callao) holds FQS certification and appears on FONASBA's approved companies list.,https://www.asba.org/certification-news,Search-result content stated Ian Taylor in Peru achieved FONASBA Quality Standard (FQS) certification; exact originating page ambiguous among results - verify before outreach.
Agencia Maritima Euronave,ship_agency,Portugal,Porto,https://www.euronave.pt/,,,verified,confirmed,Agencia Maritima Euronave (Porto) Lda is an active Portuguese ship agency (COSCO agent) based in Matosinhos/Porto.,confirmed,Active Portuguese ship agency (COSCO agent) based in Matosinhos/Porto with official site euronave.pt.,https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Search-result content named Euronave (Porto) among Portuguese companies approved under the FONASBA Quality Standard (AGEPOR member).
"Garland Navegacao, Lda",ship_agency,Portugal,,https://www.garland.pt/,,,verified,confirmed,"Shipping/port-agency arm of Garland group (Lisbon, founded 1776), port agent at all Portuguese ports.",confirmed,"Shipping/port agency division of the long-established Garland group, Lisbon, Portugal; official site garland.pt.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Search-result content named Garland Navegacao among Portuguese companies approved under the FONASBA Quality Standard.
"Pinto Basto Navegacao, S.A.",ship_agency,Portugal,,https://www.pintobasto.com/,,,verified,confirmed,"Lisbon-based shipping agent of the historic Pinto Basto group, listed on Europages and Sines port directory.",confirmed,Active Lisbon-based ship agency of the historic Pinto Basto group (est. 1771); official site pintobasto.com.,https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Search-result content named Pinto Basto Navegacao among Portuguese companies approved under the FONASBA Quality Standard.
Singapore Shipping Corporation Limited (SSAPL),ship_agency,Singapore,Singapore,https://www.singaporeshipping.com.sg/,,,verified,confirmed,Search budget exhausted; SGX-listed Singapore company with shipping agency and terminal operations per prior knowledge.,confirmed,"SGX-listed Singapore Shipping Corporation is well documented with agency/terminal operations, though the SSAPL abbreviation properly refers to its subsidiary Singapore Shipping Agencies Pte Ltd; search budget exhausted.",https://www.singaporeshipping.com.sg/shipping-agency-and-terminal-operations.html,Shipping agency & terminal operations arm; 50+ years experience.
Agencia Maritima Condeminas Cadiz S.A.U.,ship_agency,Spain,Cadiz,,,,verified,confirmed,"Spanish company registries (Axesor, eInforma, D&B) and CadizPort list it as a ship consignee/agency in Cadiz, CIF A11008786.",confirmed,"Registered Cadiz ship consignee/stevedore (CIF A11008786), listed in the Port of Cadiz directory.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Named in search-result content as appearing on the FONASBA Quality Standard approved companies list.
Agencia Maritima Condeminas Malaga,ship_agency,Spain,Malaga,,,,verified,confirmed,"Listed by Puerto de Malaga and Spanish registries as a ship consignee at Muelle de Canovas, Malaga.",confirmed,"Registered Malaga ship consignee (CIF A29047982), listed in the Port of Malaga company directory.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Named in search-result content as appearing on the FONASBA Quality Standard approved companies list.
Ership S.A.U.,ship_agency,Spain,Madrid,https://ership.com,,,verified,confirmed,"Spanish shipping/port group headquartered at C/ Lagasca 88, Madrid; services explicitly include ship agency, per its own site and registries.",confirmed,Madrid-based Spanish shipping/port group; ership.com is its official site and lists ship agency among services.,https://ership.com/wp-content/uploads/2024/07/4291_ership_sau_f.pdf,FONASBA Quality Standard certificate (awarded 09/10/2019 per search-result content); certificate PDF hosted on company site.
A. Riza Kinay Vapur Acenteligi ve Tic. A.S.,ship_agency,Turkiye,Istanbul,,,,verified,confirmed,Istanbul-based Kinay group ship agency (est. 1946/1975) with FONASBA Quality Standard approvals in the FONASBA Turkiye record.,confirmed,"Istanbul-based Turkish ship agency (Kinay group, est. 1946) named in the FONASBA Turkiye approvals record.",https://www.fonasba.com/wp-content/uploads/2026/06/FONASBA-QUALITY-STANDARD-APPLICATIONS-RECORD-TURKIYE-2.pdf,"Awarded FONASBA Quality Standard 06/06/2024 (Istanbul) and 21/06/2024 (Izmit office), per FONASBA Turkiye approvals record surfaced in search results."
ID Shipping Agency,ship_agency,Turkiye,,,,,verified,confirmed,"Istanbul-based shipping agency covering Turkish Straits transits, Tuzla/Yalova shipyard agency, per MagicPort and ZoomInfo profiles.",confirmed,Istanbul ship agency; FONASBA Quality Standard approval (07/05/2026) corroborated by FONASBA Turkiye record and 7deniz news item.,https://www.7deniz.net/id-shipping-agencyye-uluslararasi-kalite-onayi,Turkish maritime news item (7deniz) on ID Shipping Agency receiving FONASBA Quality Standard international quality approval.
A.R. Savage & Son LLC,ship_agency,USA,,https://www.arsavage.com/,,,verified,confirmed,"Tampa, Florida ship agency founded 1945, active with own site arsavage.com and multiple directory listings.",confirmed,"Active Tampa, FL ship agency since 1945 with official site arsavage.com.",http://docplayer.net/227892390-Fonasba-quality-standard-approvals-granted-fonasba-member-association.html,Named in FONASBA Quality Standard approvals-granted document (ASBA/USA section) surfaced in search results.
American Shipping and Chartering,ship_agency,USA,,https://www.americanshipping.com/,,,verified,confirmed,"Houston TX port agency founded 1980, ASBA member, active site americanshipping.com.",confirmed,"Active Houston, TX port agency, ASBA and BIMCO member, official site americanshipping.com.",http://docplayer.net/227892390-Fonasba-quality-standard-approvals-granted-fonasba-member-association.html,Named in FONASBA Quality Standard approvals-granted document (ASBA/USA section) surfaced in search results.
Biehl & Company L.P.,ship_agency,USA,,https://www.biehlco.com/,,,verified,confirmed,"Houston-headquartered US Gulf/East Coast ship agency operating since 1905, active site biehlco.com.",confirmed,Active Houston-based ship agency operating since 1905 across US Gulf and East Coast; official site biehlco.com.,http://docplayer.net/227892390-Fonasba-quality-standard-approvals-granted-fonasba-member-association.html,Named in FONASBA Quality Standard approvals-granted document (ASBA/USA section) surfaced in search results.
Blue Water Shipping Company,ship_agency,USA,,,,,verified,confirmed,"US steamship agency (est. 1979, HQ Metairie, Louisiana; offices incl. Houston) serving US ports; distinct from the Danish bws.net firm.",confirmed,"US port agency serving all US ports, listed by ASBA/FONASBA (distinct from the Danish Blue Water Shipping at bws.net).",https://www.fonasba.com/wp-content/uploads/2022/06/ASBA-QUALITY-STANDARD-June-2022.pdf,Named in ASBA (USA) FONASBA Quality Standard approvals record surfaced in search results.
Capes Shipping Agencies,ship_agency,USA,,,,,verified,confirmed,"Ship agency established 1958 in Norfolk, Virginia, USA, covering US East and Gulf Coast ports; subsidiary of CV International.",confirmed,"Norfolk, Virginia ship agency established 1958, subsidiary of CV International, covering US East and Gulf coast ports.",https://www.fonasba.com/wp-content/uploads/2022/06/ASBA-QUALITY-STANDARD-June-2022.pdf,Named in ASBA (USA) FONASBA Quality Standard approvals record surfaced in search results.
Luis A. Ayala Colon Sucrs. Inc.,ship_agency,USA (Puerto Rico),,https://www.ayacol.com/,,,verified,confirmed,"Puerto Rico's largest shipping agency and stevedore (est. 1938), offices in Ponce and San Juan, active site ayacol.com.",confirmed,"Established 1938 shipping agency and stevedore with offices in San Juan and Ponce, Puerto Rico; official site ayacol.com.",http://docplayer.net/227892390-Fonasba-quality-standard-approvals-granted-fonasba-member-association.html,Named in FONASBA Quality Standard approvals-granted document (ASBA section) surfaced in search results; Puerto Rico location per general knowledge.
GAC Group,ship_agency,United Arab Emirates,Dubai,https://www.gac.com/,,,verified,confirmed,Search budget exhausted; GAC is a globally known ship agency and logistics group headquartered in Dubai per prior knowledge.,confirmed,"GAC is one of the world's largest ship agency and logistics groups, headquartered in Dubai with website gac.com; identity is unambiguous despite exhausted search budget.",https://www.gac.com/fujairah/shipping/ship-agency,"Global ship agency (300+ offices, 101,000+ shipping jobs/year); search results showed dedicated ship agency operations in Fujairah, Singapore, Hong Kong/South China, South Korea and South Africa."
Inchcape Shipping Services UK Ltd,ship_agency,United Kingdom,,,,,verified,confirmed,"Active UK company (Companies House no. 00196654, London) providing port/ship agency services.",confirmed,"Active UK-registered ship agency (Companies House 00196654), London headquarters.",https://www.fonasba.com/fonasba-initiatives/fonasba-quality-standard/accredited-companies/,Search-result content stated Inchcape Shipping Services UK Ltd is listed among FONASBA Quality Standard approved companies.
Monson Agencies Australia,agency_network,Australia,Fremantle,https://www.monson.com.au,,,needs_review,plausible,Search quota exhausted; Fremantle-based agency covering all Australian ports matches known facts but unverified in this session.,plausible,Consistent with known Fremantle-based Australian port agency; VertomCory acquisition and site unverified (search budget exhausted).,https://www.monson.com.au/about,Services every Australian port (112+ ports) plus New Zealand and Singapore offices; 40+ years experience; acquired by VertomCory.
GAC Belgium,agency_network,Belgium,Antwerp,https://www.gac.com/belgium,,,needs_review,plausible,"GAC Group's Antwerp ship agency office is well documented in prior knowledge, but live search was impossible (session search quota exhausted).",confirmed,"GAC is a well-known global agency network with an Antwerp, Belgium office and gac.com/belgium country page (known entity; live search unavailable, budget exhausted).",https://www.gac.com/belgium/shipping/ship-agency,"Global agency network; Antwerp office at Noorderlaan 139, 2030 Antwerp; oil & gas, petrochemical, liquid and dry bulk agency."
Wilson Sons Shipping Agency,agency_network,Brazil,,https://wilsonsons.com.br,,,needs_review,plausible,"Search budget exhausted; matches known Wilson Sons, Brazil's oldest/largest maritime services group with a major shipping agency arm, but not independently verified this session.",plausible,Wilson Sons is Brazil's largest independent shipping agency with wilsonsons.com.br; matches known facts but not live-verified.,https://wilsonsons.com.br/en/shipping-agency/,"Largest and most experienced shipping agency in Brazil (largest independent); 18 branches in main Brazilian ports, own office in China; part of Wilson Sons port/maritime logistics group, 180+ years."
AGUNSA (Agencias Universales S.A.),agency_network,Chile,Santiago,https://agunsa.com,,,needs_review,plausible,"Search budget exhausted; matches known Chilean agency/logistics group in Santiago under Grupo Empresas Navieras, but not independently verified this session.",plausible,Chilean agency/logistics group under Grupo Empresas Navieras with agunsa.com matches known facts; not live-verified.,https://agunsa.com/en/about-us,"Chilean shipping agency, port and logistics group; operations across Latin America, North America and Asia in 20+ countries; part of Grupo Empresas Navieras (GEN)."
Ultramar Agencia Maritima (Grupo Ultramar),agency_network,Chile,Santiago,https://www.ultramar.cl,,,needs_review,plausible,"Search budget exhausted; matches known Chilean maritime agency of Grupo Ultramar, Santiago, but not independently verified this session.",plausible,Grupo Ultramar Santiago agency with ultramar.cl matches known facts; live search unavailable.,https://www.ultramar.cl/en/nuestra-historia/,"Part of Grupo Ultramar — 73 years of trajectory, presence in 27 countries through 150+ operating companies; agency coverage of Chilean ports Arica to Puerto Williams and expanding across Latin America."
Penavico (China Ocean Shipping Agency),agency_network,China,Beijing,https://www.penavico.com.cn,,,needs_review,plausible,"Search budget exhausted; matches known state-owned Chinese shipping agency (COSCO family, Beijing, founded 1953), but not independently verified this session.",plausible,"Penavico is a well-known Beijing-based COSCO-family shipping agency with domain penavico.com.cn, but live search was unavailable to confirm.",https://baike.baidu.com/en/item/PENAVICO/666183,"Founded 1953; largest public shipping agency in China; 90+ subsidiaries, 300+ domestic port offices, 8 overseas rep offices; COSCO family; Multiport member for China."
LBH Group,agency_network,Curacao,Willemstad,,,,needs_review,plausible,"Search budget exhausted; LBH is a known bulk-focused port agency group with holding company in Willemstad, Curacao, but Rhenus acquisition and details not independently verified.",plausible,LBH Group's Willemstad/Curacao holding matches known facts; the April 2026 Rhenus acquisition is post-knowledge-cutoff and unverifiable without search.,https://pitchbook.com/profiles/company/180543-70,Port agency and maritime logistics group specializing in dry and liquid bulk commodities; founded 1984 in Rotterdam; acquired by Rhenus Logistics (Germany) in April 2026.
Inchcape Shipping Services Denmark,agency_network,Denmark,Copenhagen,https://www.iss-shipping.com/,,,needs_review,plausible,"Search budget exhausted; ISS is a well-known global agency network with Copenhagen coverage per prior knowledge, not live-verified.",plausible,"Search budget exhausted; ISS is a well-known global network with a Copenhagen office, page not live-verified.",https://www.iss-shipping.com/network/europe-middle-east-and-africa/copenhagen/,Copenhagen office of the global ISS agency network; covers Aarhus and other Danish ports.
Gulf Badr Group,agency_network,Egypt,,,,,needs_review,plausible,Search budget exhausted; company matches a known Egyptian Evergreen agent from prior knowledge but unverified this session.,plausible,"Known Egyptian agency network and Evergreen agent from prior knowledge, but no website given and live verification unavailable.",https://eg.linkedin.com/company/gulf-badr-shipping-agency,"Established 1976; shipping agency network covering Egypt, Libya, Kenya, Tanzania, Uganda, Rwanda, Burundi and Mozambique; sole agent for Evergreen Line in Egypt and East Africa markets."
GAC Finland,agency_network,Finland,,https://www.gac.com/finland,,,needs_review,plausible,"Search budget exhausted; GAC is a well-known global agency network with a Finland office per prior knowledge, but no live search confirmation obtained.",plausible,"Search budget exhausted; GAC is a well-known global agency network with a Finland office, but page not live-verified.",https://www.gac.com/finland/shipping/ship-agency,"Finland arm of GAC, one of world's largest ship agencies (300+ offices, 60,000+ port calls/yr)."
OMA Group,agency_network,Ghana,Accra,https://www.omagroup.com,,,needs_review,plausible,"Search budget exhausted; matches known West African ship agency/logistics group headquartered in Accra, Ghana, but not independently verified this session.",plausible,OMA Group is a known West African ship agency headquartered in Accra; the omagroup.com domain could not be live-verified.,https://www.omagroup.com/about-us/,"Independent West African ship agency and logistics group; companies in Burkina Faso, Benin, Cote d'Ivoire, Ghana, Togo and Senegal with partners in Cameroon, Mauritania, Niger and Nigeria; 30+ years."
Jardine Shipping Services,agency_network,Hong Kong,Hong Kong,,,,needs_review,plausible,"Search budget exhausted; matches known Jardine Matheson agency network across Asia based in Hong Kong, but not independently verified this session.",plausible,Jardine Matheson's Hong Kong shipping-agency arm matches known facts; no website listed and none could be verified with search unavailable.,https://om.shippingazette.com/OM/OM1/JSS.asp,"Member of Jardine Matheson Group; 55+ offices covering nearly 200 ports in Asia (China, Indonesia, Malaysia, Philippines, Singapore, Taiwan, Thailand, Vietnam); Asia-Pacific member of S5 Agency World (S5 Asia)."
J. M. Baxi & Co.,agency_network,India,Mumbai,https://www.jmbaxi.com,,,needs_review,plausible,"Search budget exhausted; matches known Indian shipping agency house founded 1916, Mumbai HQ, but not independently verified this session.",plausible,"J. M. Baxi (Mumbai, founded 1916, jmbaxi.com) is India's leading agency house and matches known facts; not live-verified.",https://www.jmbaxi.com/j-m-baxi-co.html,"Founded 1916; largest shipping agency house in India; 4,000+ vessels per annum at all major and minor Indian ports; handles ~95% of cruise and naval calls in India."
Multiport Ship Agencies Network,agency_network,Netherlands,Rotterdam,https://www.multiport.org,,,needs_review,plausible,Search quota exhausted; Rotterdam-founded independent ship agents network (est. 1978) matches known facts but unverified in this session.,plausible,Consistent with known Rotterdam-founded independent agents network at multiport.org; live verification unavailable.,https://www.multiport.org/about-us/,"World's largest/oldest network of independent ship agents, founded 1978 in Rotterdam; 130+ countries, 1,800+ ports, ~138,000 calls annually; one vetted member per country; not-for-profit association."
VertomCory,agency_network,Netherlands,Rotterdam,https://vertomcory.com,,,needs_review,plausible,"Search budget exhausted; consistent with known Vertom/Cory Brothers agency joint venture in Rotterdam, but not independently verified this session.",plausible,"Vertom-Cory Rotterdam JV matches known facts and vertomcory.com is consistent, but could not be live-verified (search budget exhausted).",https://vertomcory.com/about-vertomcory/,"JV of Vertom Agencies (Rotterdam) and Cory Brothers Shipping Agency (Ipswich, UK, est. 1845); one of the largest shipping agencies in Europe; expanded into Asia-Pacific via Monson and Meridian acquisitions."
Wilhelmsen Port Services,agency_network,Norway,Oslo,https://www.wilhelmsen.com,,,needs_review,plausible,"Search quota exhausted; Wilhelmsen's ships agency arm (Norway, ~2,200 port locations) matches known facts but was not independently verified here.",plausible,Consistent with known Wilhelmsen group (Norway) ships agency arm at wilhelmsen.com; live verification unavailable.,https://www.wilhelmsen.com/port-services/ships-agency/,"Wilhelmsen group's ships agency arm; full/husbandry/protective agency in 2,200 port locations; over one million port calls delivered historically."
Wilhelmsen Port Services Norway AS,agency_network,Norway,Lysaker,https://www.wilhelmsen.com/,,,needs_review,confirmed,"Wilhelmsen is a major global ships-agency network headquartered in Lysaker, Norway; identity certain from prior knowledge despite exhausted search budget.",plausible,"Wilhelmsen is a well-known global port agency group headquartered in Lysaker, Norway; consistent with prior knowledge but unverifiable this session (search budget exhausted).",https://www.wilhelmsen.com/contacts-locations/locations/europe/norway/ports/oslo/,Norway arm of Wilhelmsen global port services/agency network; office in Lysaker near Oslo.
Kanoo Shipping,agency_network,Saudi Arabia,Dammam,https://www.kanooshipping.com,,,needs_review,plausible,"Search quota exhausted; Kanoo Shipping (YBA Kanoo group, Middle East) matches known facts but was not independently verified; note parent group is Bahrain/Saudi based.",plausible,"Consistent with known YBA Kanoo shipping division (Dammam/Bahrain, kanooshipping.com); live verification unavailable.",https://www.kanooshipping.com/,"Largest regional shipping agency in the Middle East; ~20,000 port calls per annum; network from Suez across Middle East to Indian Subcontinent and South Africa; division of Yusuf Bin Ahmed Kanoo group; first agency in the Gulf (1911)."
Ben Line Agencies,agency_network,Singapore,Singapore,,,,needs_review,plausible,Search quota exhausted; Singapore-headquartered Asia-Pacific agency group matches known facts but no search evidence retrieved this session.,plausible,Matches known Singapore-headquartered Asia-Pacific agency group; live search verification unavailable.,https://en.wikipedia.org/wiki/Ben_Line_Agencies,"Asia-Pacific focused ship agency group; 130+ offices in 18 countries; liner agency, marine agency, offshore support; heritage dating to 1825."
Sturrock Grindrod Maritime (SGM),agency_network,South Africa,Durban,https://sturrockgrindrod.com,,,needs_review,plausible,Search quota exhausted; Durban-based Grindrod ship agency arm matches known facts but unverified in this session.,plausible,Consistent with known Grindrod-linked Durban agency; live search verification unavailable this session.,https://sturrockgrindrod.com/who-we-are/,"Part of JSE-listed Grindrod Limited; ship agency, logistics and maritime technical services along Indian Ocean trade routes — Africa, Middle East, Southeast Asia, Australian coastline."
